trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.3, 'e': 0.2879409081307703}",20,13,7.564354571832691,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.3, 'e': 0.2836540264997704}",25,13,-1.512857509995718,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.3, 'e': 0.27943096822140734}",30,15,-29.930603273779294,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.3, 'e': 0.27527078308975234}",25,19,10.32281501254606,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.3, 'e': 0.2711725350455999}",25,14,22.04864800743673,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.3, 'e': 0.2671353019658504}",25,11,21.257532632443898,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.3, 'e': 0.2631581754560287}",20,6,6.8135900699910845,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.3, 'e': 0.25924026064589156}",20,8,9.675012884722964,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.3, 'e': 0.2553806759880777}",20,9,5.751042432191589,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.3, 'e': 0.2515785530597565}",20,16,5.747436825420494,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.3, 'e': 0.24783303636722875}",30,23,9.72819882252314,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.2441432831534371}",30,15,-8.620649873965867,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.3, 'e': 0.24050846320834213}",25,18,13.794010938912418,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.23692775868212176}",30,20,12.81051245255911,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.3, 'e': 0.23340036390115138}",25,0,27.623797492841152,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.3, 'e': 0.22992548518672384}",25,8,-26.651935732986633,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.2265023406764688}",30,16,27.62429566371024,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.22313016014842982}",25,17,-37.604076442887695,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.3, 'e': 0.21980818484776174}",35,16,-36.898702676061305,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 0}",1
